N,GPU_Total_single,GPU_Compute_single,GPU_Transfer_single,GPU_Bucket_single,GPU_Window_single,GPU_Total_multi,GPU_Compute_multi,GPU_Transfer_multi,GPU_Bucket_multi,GPU_Window_multi,Total_Speedup,Compute_Speedup,Transfer_Ratio
64,4640,4599,41,1021,3578,99219,951,39,910,41,0.046765236497041895,4.83596214511041,0.9512195121951219
128,3789,3768,21,33,3735,7144,4,21,3,1,0.5303751399776035,942.0,1.0
256,3339,3319,20,40,3279,8327,5,23,4,1,0.40098474840879067,663.8,1.15
512,2770,2749,21,51,2698,9414,5,25,4,1,0.29424261737837265,549.8,1.1904761904761905
1024,2805,2777,28,86,2691,10078,5,26,4,1,0.2783290335384005,555.4,0.9285714285714286
2048,2584,2534,50,108,2426,10374,5,34,4,1,0.2490842490842491,506.8,0.68
4096,2673,2598,75,171,2427,10650,23,49,4,19,0.25098591549295773,112.95652173913044,0.6533333333333333
8192,2878,2724,154,293,2431,11115,5,81,4,1,0.2589293747188484,544.8,0.525974025974026
16384,3207,2968,239,532,2436,12236,7,167,6,1,0.2620954560313828,424.0,0.698744769874477
32768,3844,3407,437,968,2439,15279,12,422,10,2,0.25158714575561225,283.9166666666667,0.965675057208238
65536,5080,4228,852,1800,2428,20453,16,1162,13,3,0.24837432161541095,264.25,1.363849765258216
131072,7451,5817,1634,3390,2427,31121,16,2711,13,3,0.23942032711031136,363.5625,1.6591187270501837
262144,12584,9213,3371,6784,2429,52702,16,5433,13,3,0.23877651702022692,575.8125,1.611687926431326
524288,22612,15747,6865,13318,2429,95490,16,10871,13,3,0.23679966488637555,984.1875,1.5835396941005098
1048576,42498,28222,14276,25793,2429,202772,16,21844,13,3,0.20958514982344703,1763.875,1.5301204819277108
2097152,79601,53477,26124,51048,2429,405031,16,44257,13,3,0.19653063592663278,3342.3125,1.6941126933088348
3000000,112186,75224,36962,72796,2428,611999,14,62615,11,3,0.18331075704372066,5373.142857142857,1.6940371192035064
4194304,162518,103595,58923,101167,2428,794856,15,115628,12,3,0.20446219189387763,6906.333333333333,1.9623576532084246
6000000,231493,144512,86981,142187,2325,1208586,20,144301,16,4,0.19154036204291627,7225.6,1.6589944930502063
8388608,313538,196653,116885,194330,2323,1539484,18,192670,15,3,0.20366434467652797,10925.166666666666,1.648372331779099
